name,slug,category,url
Rockwear,rockwear,sportswear,https://www.doublesave.com/au/discount-codes/rockwear/
Roses Only,roses-only,flowers_gifting,https://www.doublesave.com/au/discount-codes/roses-only/
Rubi,rubi,footwear,https://www.doublesave.com/au/discount-codes/rubi/
Ryderwear,ryderwear,performance_apparel,https://www.doublesave.com/au/discount-codes/ryderwear/
Rydges,rydges,hotels,https://www.doublesave.com/au/discount-codes/rydges/
SABA,saba,premium_fashion,https://www.doublesave.com/au/discount-codes/saba/
Samsung,samsung,consumer_electronics,https://www.doublesave.com/au/discount-codes/samsung/
Scoopon,scoopon,deals_marketplace,https://www.doublesave.com/au/discount-codes/scoopon/
Scorptec,scorptec,computing,https://www.doublesave.com/au/discount-codes/scorptec/
SEA LIFE Sydney,sea-life-sydney,attractions,https://www.doublesave.com/au/discount-codes/sea-life-sydney/
Sea World,sea-world,attractions,https://www.doublesave.com/au/discount-codes/sea-world/
Seafolly,seafolly,swimwear,https://www.doublesave.com/au/discount-codes/seafolly/
SeaLink,sealink,travel,https://www.doublesave.com/au/discount-codes/sealink/
Secretlab,secretlab,gaming_furniture,https://www.doublesave.com/au/discount-codes/secretlab/
Secure Parking,secure-parking,parking,https://www.doublesave.com/au/discount-codes/secure-parking/
Seed Heritage,seed-heritage,womens_fashion,https://www.doublesave.com/au/discount-codes/seed-heritage/
Sephora,sephora,beauty_retail,https://www.doublesave.com/au/discount-codes/sephora/
Shaver Shop,shaver-shop,personal_care_electronics,https://www.doublesave.com/au/discount-codes/shaver-shop/
Sheet Society,sheet-society,bedding,https://www.doublesave.com/au/discount-codes/sheet-society/
Shein,shein,fast_fashion,https://www.doublesave.com/au/discount-codes/shein/
Sheridan,sheridan,premium_bedding,https://www.doublesave.com/au/discount-codes/sheridan/
ShopBack,shopback,cashback,https://www.doublesave.com/au/discount-codes/shopback/
Showpo,showpo,womens_fashion_online,https://www.doublesave.com/au/discount-codes/showpo/
SIXT,sixt,car_hire,https://www.doublesave.com/au/discount-codes/sixt/
Skechers,skechers,comfort_footwear,https://www.doublesave.com/au/discount-codes/skechers/
Smiggle,smiggle,kids_stationery,https://www.doublesave.com/au/discount-codes/smiggle/
Snooze,snooze,bedding_retail,https://www.doublesave.com/au/discount-codes/snooze/
Snowys,snowys,camping_outdoor,https://www.doublesave.com/au/discount-codes/snowys/
Sonos,sonos,audio,https://www.doublesave.com/au/discount-codes/sonos/
Specsavers,specsavers,optical,https://www.doublesave.com/au/discount-codes/specsavers/
Spirit of Tasmania,spirit-of-tasmania,travel,https://www.doublesave.com/au/discount-codes/spirit-of-tasmania/
Sportscraft,sportscraft,premium_fashion,https://www.doublesave.com/au/discount-codes/sportscraft/
Sportsgirl,sportsgirl,youth_womens_fashion,https://www.doublesave.com/au/discount-codes/sportsgirl/
Spotify,spotify,digital_subscriptions,https://www.doublesave.com/au/discount-codes/spotify/
Spotlight,spotlight,craft_home,https://www.doublesave.com/au/discount-codes/spotlight/
Stan,stan,streaming,https://www.doublesave.com/au/discount-codes/stan/
Starbucks,starbucks,food_drink,https://www.doublesave.com/au/discount-codes/starbucks/
STAX,stax,activewear,https://www.doublesave.com/au/discount-codes/stax/
Step One,step-one,underwear_basics,https://www.doublesave.com/au/discount-codes/step-one/
Strandbags,strandbags,bags_luggage,https://www.doublesave.com/au/discount-codes/strandbags/
StrawberryNET,strawberrynet,beauty,https://www.doublesave.com/au/discount-codes/strawberrynet/
Stylerunner,stylerunner,activewear_multi_brand,https://www.doublesave.com/au/discount-codes/stylerunner/
Subway,subway,sandwich_fast_food,https://www.doublesave.com/au/discount-codes/subway/
Sunglass Hut,sunglass-hut,eyewear,https://www.doublesave.com/au/discount-codes/sunglass-hut/
Supercheap Auto,supercheap-auto,auto_parts,https://www.doublesave.com/au/discount-codes/supercheap-auto/
